,movie_id,movie_title,movie_year,IMDB_rating,IMDB_votes,genres,IMDB_Avg_Rating,character_id,character_name,movie_id,movie_name,character_gender,position_in_credits
0,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2767,DETECTIVE,m181,simone,?,?
1,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2768,ELAINE,m181,simone,F,?
2,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2769,FAITH,m181,simone,?,?
3,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2770,FRANK BRAND,m181,simone,?,?
4,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2771,HAL,m181,simone,?,?
5,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2772,HANK,m181,simone,?,?
6,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2773,HARRY,m181,simone,?,?
7,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2774,KENT,m181,simone,?,?
8,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2775,LAINEY,m181,simone,?,?
9,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2776,LAWYER,m181,simone,?,?
10,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2777,MAX,m181,simone,?,?
11,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2778,MILTON,m181,simone,?,?
12,m181,simone,2010,8.3,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller'],0.9222222222222223,u2779,NICOLA,m181,simone,?,?
